Altium Designer Pick and Place Locations
C:\Users\power\OneDrive - University of Tulsa\PCB Design\Final Project\H16R7x-Hardware\Design\Project Outputs for H16R7x\Pick Place for H16R7x.csv

========================================================================================================================
File Design Information:

Date:       01/12/25
Time:       10:14
Revision:   166d9cb8b0f47a617157243a4d490464a6670f29
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"FPC","FFC2A32-12-T","TopLayer","GCT_FFC2A32-12-T","1017.496","5.922","90","12 Position FFC, FPC Connector Contacts, Vertical - 1 Sided 0.020 (0.50mm) Surface Mount"
"R5","Resistor 2R2  +/-5 % 0402 63 mW","TopLayer","RESC0402(1005)_L","824.773","197.487","0","Chip Resistor, 2,2 Ohms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R4","10KR2F","TopLayer","RESC0402(1005)_L","542.966","250.937","90","10K 0.063W 1% 0402 (1005 Metric)  SMD"
"Q1","CJ2302","TopLayer","JSCJ-SOT23-3_V","657.299","136.215","90","N-Channe Plastic Encapsulate MOSFET, 20 V, 2.1 A, 3-Pin SOT23, Tape and Reel"
"SU5","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-1163.390","0.000","150",""
"VDD10","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-1163.260","-325.200","210",""
"VDD9","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-600.000","-650.390","270",""
"VDD8","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U_300L","-6.610","-305.200","90",""
"VDD7","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","581.100","-650.390","270",""
"GND10","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-1163.260","-325.200","150",""
"GND9","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-600.000","-650.390","210",""
"GND8","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D_300L","-6.610","-305.200","90",""
"GND7","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","581.100","-650.390","210",""
"X1","CSTCE8M00G52Z-R0","BottomLayer","XTALL_CSTCE8M00G52","359.132","306.977","90","Ceramic Resonator 8MHz ±0.5% (Tol) ±0.2% (Stability) 10pF 40Ohm 3-Pin CSMD T/R"
"U1","STM32G0B1CEU6","BottomLayer","QFN50P700X700X65-49N-D","34.104","-30.273","270","MCU 32-bit ARM Cortex M0+ RISC 512KB Flash 1.8V/2.5V/3.3V 48-Pin UFQFPN EP Tray"
"R2","Manufacturer Part Number","BottomLayer","R0603","-902.419","206.419","0",""
"R1","Manufacturer Part Number","TopLayer","R0603","234.070","-384.710","270","Res Thick Film 0603 270 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R"
"R3","Manufacturer Part Number","BottomLayer","R0603","-875.209","-4.079","180","100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"LED1","VLMS1300-GS08","TopLayer","FP-6_541-5092_01-4-MFG","507.504","-505.655","90","LED Uni-Color Super Red 639nm 2-Pin Chip 0603(1608Metric) T/R"
"J1","TSW-103-14-G-S","TopLayer","FP-TSW-103-14-G-S-MFG","-428.494","-109.909","270","CONN HEADER VERT 3POS 2.54MM"
"FB1","MMZ1608Y300B","BottomLayer","FP-MMZ1608-0_8-MFG","-901.797","118.841","0","Ferrite Beads 0603 30ohms 1500mA Signal Line AEC-Q200"
"D1","CDSOD323-T03SC","BottomLayer","SOD2513X114N","-1015.435","155.782","270","A 3V, 350W, bi-directional, standard capacitance, SOD323 pkg TVS Diode"
"C4","CC0805KKX7R7BB105","BottomLayer","C0805","-199.173","237.602","270","Ceramic Capacitor, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0805"
"C3","CL10B104KA8NNNC","BottomLayer","C0603","-761.638","165.311","270","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"C2","CL21X475KAQNNNE","BottomLayer","C0805","-498.905","164.278","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X6S, +-22% TC, 4.7uF, Surface Mount, 0805 inch"
